id,name,processing_time,due_date,priority,required_machine_type,required_worker_skill,precedence,profit_margin,delay_penalty,client_priority,contractual,reputation_risk,material_available
J001,Shaft Turning,3.0,2025-01-05,5,CNC,CNC,,15000,500,5,1,20.0,1
J002,Bracket Milling,2.5,2025-01-04,4,Milling,Milling,,8000,300,4,0,5.0,1
J003,Frame Welding,4.0,2025-01-06,3,Welding,Welding,,12000,400,3,1,15.0,1
J004,Gear Assembly,2.0,2025-01-03,5,Assembly,Assembly,J001,20000,800,5,1,30.0,1
J005,Hole Drilling,1.5,2025-01-04,2,Drilling,Drilling,,3000,100,2,0,2.0,1
J006,QC Inspection,1.0,2025-01-06,3,QC,QC,J004,5000,200,3,0,5.0,1
J007,Housing CNC,3.5,2025-01-05,4,CNC,CNC,,18000,600,4,1,10.0,1
J008,Panel Welding,2.0,2025-01-07,2,Welding,Welding,,6000,200,2,0,3.0,1
J009,Sub-Assembly,3.0,2025-01-06,3,Assembly,Assembly,J005,9000,350,3,0,5.0,1
J010,Final QC,1.5,2025-01-08,4,QC,QC,J009,7000,300,4,1,8.0,1
